排名,仓库名,描述,语言,Stars,Forks,链接
1,Alishahryar1 / free-claude-code,"Use claude-code for free in the terminal, VSCode extension or via discord like openclaw",Python,"11,447","1,703",https://github.com/Alishahryar1/free-claude-code
2,mattpocock / skills,"My personal directory of skills, straight from my .claude directory.",Shell,"19,954","1,663",https://github.com/mattpocock/skills
3,Z4nzu / hackingtool,ALL IN ONE Hacking Tool For Hackers,Python,"63,818","7,155",https://github.com/Z4nzu/hackingtool
4,PostHog / posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",Python,"33,484","2,601",https://github.com/PostHog/posthog
5,davila7 / claude-code-templates,CLI tool for configuring and monitoring Claude Code,Python,"25,336","2,526",https://github.com/davila7/claude-code-templates
6,deepseek-ai / DeepEP,DeepEP: an efficient expert-parallel communication library,Cuda,"9,489","1,196",https://github.com/deepseek-ai/DeepEP
7,PowerShell / PowerShell,PowerShell for every system!,C#,"53,059","8,296",https://github.com/PowerShell/PowerShell
8,RooCodeInc / Roo-Code,Roo Code gives you a whole dev team of AI agents in your code editor.,TypeScript,"23,502","3,121",https://github.com/RooCodeInc/Roo-Code
9,huggingface / ml-intern,"🤗 ml-intern: an open-source ML engineer that reads papers, trains models, and ships ML models",Python,"6,214",558,https://github.com/huggingface/ml-intern
10,codecrafters-io / build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,"495,949","46,999",https://github.com/codecrafters-io/build-your-own-x
11,CJackHwang / ds2api,"Deepseek to API: A lightweight, high-performance full-stack middleware converting client protocols to universal APIs. Supports multi-account rotation, compiled binaries, Vercel Serverless, and Docker. Compatible with Google, Claude, and OpenAI API formats.",Go,"1,404",447,https://github.com/CJackHwang/ds2api
12,Universal-Commerce-Protocol / ucp,Specification and documentation for the Universal Commerce Protocol (UCP),Python,"2,786",347,https://github.com/Universal-Commerce-Protocol/ucp
13,ComposioHQ / awesome-codex-skills,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.,Python,"1,462",130,https://github.com/ComposioHQ/awesome-codex-skills
